id,region1,region2,region3,locality,postcode,latitude,longitude,elevation,iso2,fips,nuts,hasc,stat,timezone,utc,dst
1005288784,Burgenland,Eisenstadt,Eisenstadt,Eisenstadt,7000,47.84569,16.524123,179,AT-1,AU01,AT112,AT.BU.ES,1,Europe/Vienna,+01:00,+02:00
1005288785,Burgenland,Eisenstadt,Eisenstadt,Kleinhöflein im Burgenland,7000,47.840004,16.508405,180,AT-1,AU01,AT112,AT.BU.ES,2,Europe/Vienna,+01:00,+02:00
1005288786,Burgenland,Eisenstadt,Eisenstadt,Sankt Georgen am Leithagebirge,7000,47.852783,16.547718,162,AT-1,AU01,AT112,AT.BU.ES,3,Europe/Vienna,+01:00,+02:00
1005288818,Burgenland,Eisenstadt-Umgebung,Breitenbrunn am Neusiedler See,Breitenbrunn am Neusiedler See,7091,47.945367,16.732011,149,AT-1,AU01,AT112,AT.BU.EU,5,Europe/Vienna,+01:00,+02:00
1005288816,Burgenland,Eisenstadt-Umgebung,Donnerskirchen,Donnerskirchen,7082,47.893521,16.643104,152,AT-1,AU01,AT112,AT.BU.EU,6,Europe/Vienna,+01:00,+02:00
1005288806,Burgenland,Eisenstadt-Umgebung,Großhöflein,Großhöflein,7051,47.833685,16.48146,193,AT-1,AU01,AT112,AT.BU.EU,7,Europe/Vienna,+01:00,+02:00
1005276957,Burgenland,Eisenstadt-Umgebung,Hornstein,Hornstein,2491,47.873881,16.39459,225,AT-1,AU01,AT112,AT.BU.EU,8,Europe/Vienna,+01:00,+02:00
1005288808,Burgenland,Eisenstadt-Umgebung,Hornstein,Hornstein,7053,47.880086,16.442516,266,AT-1,AU01,AT112,AT.BU.EU,8,Europe/Vienna,+01:00,+02:00
1005288789,Burgenland,Eisenstadt-Umgebung,Klingenbach,Klingenbach,7013,47.753883,16.539609,229,AT-1,AU01,AT112,AT.BU.EU,9,Europe/Vienna,+01:00,+02:00
1005276913,Burgenland,Eisenstadt-Umgebung,Leithaprodersdorf,Leithaprodersdorf,2443,47.933537,16.480992,197,AT-1,AU01,AT112,AT.BU.EU,10,Europe/Vienna,+01:00,+02:00
1005276914,Burgenland,Eisenstadt-Umgebung,Loretto,Loretto,2443,47.913766,16.518564,224,AT-1,AU01,AT112,AT.BU.EU,11,Europe/Vienna,+01:00,+02:00
1005288814,Burgenland,Eisenstadt-Umgebung,Mörbisch am See,Mörbisch am See,7072,47.75318,16.6663,126,AT-1,AU01,AT112,AT.BU.EU,13,Europe/Vienna,+01:00,+02:00
1005288807,Burgenland,Eisenstadt-Umgebung,Müllendorf,Müllendorf,7052,47.840352,16.460504,224,AT-1,AU01,AT112,AT.BU.EU,14,Europe/Vienna,+01:00,+02:00
